index, time, unrolled, speed, value, x, y
4_3_72,7.4e-05,135,1.82432e+06,0.2,3,0
6_5_57,0.473606,456407,963685,0.111111,4,1
5_1_93,2e-06,1,500000,0,4,2
5_4_67,0.003933,5567,1.41546e+06,0.142857,2,1
4_3_58,7.5e-05,135,1.8e+06,0.2,3,0
5_2_28,9e-06,11,1.22222e+06,0.333333,3,1
4_3_76,7.4e-05,135,1.82432e+06,0.2,3,0
2_1_19,1e-06,1,1e+06,0,1,0
2_1_52,2e-06,1,500000,0,1,0
6_1_71,2e-06,1,500000,0,5,2
4_1_90,2e-06,1,500000,0,0,2
5_2_70,8e-06,11,1.375e+06,0.333333,0,1
5_1_37,2e-06,1,500000,0,1,2
4_1_47,2e-06,1,500000,0,1,2
4_3_12,7.5e-05,135,1.8e+06,0.2,3,0
6_2_83,1e-05,13,1.3e+06,0.333333,0,1
3_2_28,6e-06,7,1.16667e+06,0.333333,1,1
6_4_90,0.008743,10231,1.17019e+06,0.142857,3,0
5_3_21,0.000132,213,1.61364e+06,0.2,0,4
5_3_61,0.000132,213,1.61364e+06,0.2,0,4
2_1_67,1e-06,1,1e+06,0,1,0
5_1_24,3e-06,1,333333,0,2,2
6_3_48,0.000211,309,1.46445e+06,0.2,1,1
6_3_38,0.000212,309,1.45755e+06,0.2,2,1
2_1_84,2e-06,1,500000,0,1,0
6_5_45,0.472834,456407,965258,0.111111,4,1
4_1_14,2e-06,1,500000,0,1,1
4_3_52,7.4e-05,135,1.82432e+06,0.2,1,3
3_1_21,3e-06,1,333333,0,1,1
4_2_50,6e-06,9,1.5e+06,0.333333,1,3
6_5_51,0.472332,456407,966284,0.111111,4,5
6_2_75,1.1e-05,13,1.18182e+06,0.333333,2,5
6_2_41,1e-05,13,1.3e+06,0.333333,0,5
5_4_16,0.003985,5567,1.39699e+06,0.142857,0,3
5_3_97,0.000133,213,1.6015e+06,0.2,2,3
3_1_54,3e-06,1,333333,0,2,1
6_2_19,1.1e-05,13,1.18182e+06,0.333333,1,5
6_1_68,2e-06,1,500000,0,5,1
6_2_97,1e-05,13,1.3e+06,0.333333,0,5
5_1_13,2e-06,1,500000,0,4,1
5_1_60,2e-06,1,500000,0,1,1
6_5_16,0.473569,456407,963760,0.111111,3,5
4_2_88,6e-06,9,1.5e+06,0.333333,1,3
4_1_92,2e-06,1,500000,0,1,1
3_2_49,6e-06,7,1.16667e+06,0.333333,1,0
5_1_68,2e-06,1,500000,0,1,1
5_3_11,0.000132,213,1.61364e+06,0.2,2,3
6_2_78,1e-05,13,1.3e+06,0.333333,1,5
6_1_50,2e-06,1,500000,0,2,1
3_2_12,6e-06,7,1.16667e+06,0.333333,2,0
5_4_58,0.004317,5567,1.28955e+06,0.142857,0,3
5_3_73,0.000134,213,1.58955e+06,0.2,4,2
6_3_7,0.00022,309,1.40455e+06,0.2,4,4
6_4_74,0.008731,10231,1.1718e+06,0.142857,2,3
5_1_51,2e-06,1,500000,0,1,2
4_2_85,6e-06,9,1.5e+06,0.333333,0,1
6_5_88,0.473265,456407,964379,0.111111,2,3
6_1_54,3e-06,1,333333,0,0,2
5_4_30,0.003976,5567,1.40015e+06,0.142857,0,0
5_4_26,0.003943,5567,1.41187e+06,0.142857,1,0
5_2_36,9e-06,11,1.22222e+06,0.333333,0,4
6_3_5,0.000211,309,1.46445e+06,0.2,3,4
2_1_24,1e-06,1,1e+06,0,1,0
6_2_62,1e-05,13,1.3e+06,0.333333,0,4
6_4_2,0.008733,10231,1.17153e+06,0.142857,1,3
2_1_96,2e-06,1,500000,0,0,0
