index, time, unrolled, speed, value, x, y
6_3_10,0.000218,309,1.41743e+06,-0.2,2,1
4_1_68,2e-06,1,500000,0,3,2
3_1_31,3e-06,1,333333,0,1,2
6_5_2,0.466128,456407,979145,-0.111111,2,5
2_1_97,2e-06,1,500000,0,1,1
4_2_38,6e-06,9,1.5e+06,-0.333333,2,2
6_1_24,2e-06,1,500000,0,4,5
6_3_80,0.000207,309,1.49275e+06,-0.2,1,4
4_3_99,7.3e-05,135,1.84932e+06,-0.2,2,1
4_2_4,6e-06,9,1.5e+06,-0.333333,2,2
5_4_41,0.0038,5567,1.465e+06,-0.142857,0,2
5_2_59,9e-06,11,1.22222e+06,-0.333333,3,2
5_3_45,0.000131,213,1.62595e+06,-0.2,4,1
4_2_79,6e-06,9,1.5e+06,-0.333333,2,2
5_3_96,0.00013,213,1.63846e+06,-0.2,4,1
3_2_54,6e-06,7,1.16667e+06,-0.333333,2,2
6_5_62,0.495319,456407,921441,-0.111111,4,0
6_1_35,5e-06,1,200000,0,5,5
6_2_88,2.4e-05,13,541667,-0.333333,5,2
6_1_21,4e-06,1,250000,0,3,5
6_5_69,0.57421,456407,794843,-0.111111,5,0
3_2_46,8e-06,7,875000,-0.333333,1,2
5_4_1,0.004942,5567,1.12647e+06,-0.142857,3,1
6_1_66,3e-06,1,333333,0,2,5
6_3_57,0.000267,309,1.1573e+06,-0.2,5,5
6_5_56,0.697883,456407,653988,-0.111111,0,5
5_4_75,0.003804,5567,1.46346e+06,-0.142857,3,1
6_3_19,0.000209,309,1.47847e+06,-0.2,5,5
6_4_33,0.008456,10231,1.20991e+06,-0.142857,1,3
4_1_44,2e-06,1,500000,0,1,3
6_4_51,0.008476,10231,1.20706e+06,-0.142857,1,3
6_2_29,1.1e-05,13,1.18182e+06,-0.333333,3,4
5_1_86,2e-06,1,500000,0,1,3
4_1_95,2e-06,1,500000,0,2,3
3_1_57,3e-06,1,333333,0,1,0
6_4_30,0.008532,10231,1.19913e+06,-0.142857,2,3
5_3_23,0.000134,213,1.58955e+06,-0.2,2,4
5_1_53,4e-06,1,250000,0,3,3
